schlafli,length,name,status,nDims,nFaces,nCubies,nStickers,nGrips,nVerts,nPolys,sumPolyVerts,maxVertsPerSticker,totalCuts,nNicePoints,circumRadius,buildMs,assetBytes,error
"{3,3,3}",1,"Simplex",OK,4,5,1,5,75,20,20,60,4,0,31,0.632456,22,12616,""
"{3,3,3}",2,"Simplex",OK,4,5,6,25,75,260,180,780,12,5,31,0.632456,14,18536,""
"{3,3,3}",3,"Simplex",OK,4,5,25,75,75,820,560,2460,12,10,31,0.632456,22,32496,""
"{3,3,3}",4,"Simplex",OK,4,5,70,170,75,1840,1260,5520,12,15,31,0.632456,59,58126,""
"{3,3,3}",5,"Simplex",OK,4,5,155,325,75,3460,2380,10380,12,20,31,0.632456,79,99056,""
"{3,3,3}",6,"Simplex",OK,4,5,295,555,75,5820,4020,17460,12,25,31,0.632456,70,158916,""
"{3,3,3}",7,"Simplex",OK,4,5,505,875,75,9060,6280,27180,12,30,31,0.632456,111,241336,""
"{3,3,3}",8,"Simplex",OK,4,5,800,1300,75,13320,9260,39960,12,35,31,0.632456,161,349946,""
"{3,3,3}",9,"Simplex",OK,4,5,1195,1845,75,18740,13060,56220,12,40,31,0.632456,233,488376,""
"{3}x{4}",1,"Triangular Duoprism",OK,4,7,1,7,165,48,38,144,8,0,63,1.825742,4,27306,""
"{3}x{4}",2,"Triangular Duoprism",OK,4,7,16,56,165,480,352,1440,10,7,63,1.825742,10,38726,""
"{3}x{4}",3,"Triangular Duoprism",OK,4,7,78,189,165,1656,1206,4968,12,14,63,1.825742,27,69694,""
"{3}x{4}",4,"Triangular Duoprism",OK,4,7,228,448,165,3936,2864,11808,12,21,63,1.825742,61,129750,""
"{3}x{4}",5,"Triangular Duoprism",OK,4,7,508,875,165,7680,5590,23040,12,28,63,1.825742,91,228434,""
"{3}x{4}",6,"Triangular Duoprism",OK,4,7,960,1512,165,13248,9648,39744,12,35,63,1.825742,167,375286,""
"{3}x{4}",7,"Triangular Duoprism",OK,4,7,1626,2401,165,21000,15302,63000,12,42,63,1.825742,265,579846,""
"{4,3,3}",1,"Hypercube",OK,4,8,1,8,216,64,48,192,8,0,81,2.000000,1,35616,""
"{4,3,3}",2,"Hypercube",OK,4,8,16,64,216,512,384,1536,8,8,81,2.000000,4,47776,""
"{4,3,3}",3,"Hypercube",OK,4,8,80,216,216,1728,1296,5184,8,16,81,2.000000,11,80672,""
"{4,3,3}",4,"Hypercube",OK,4,8,240,512,216,4096,3072,12288,8,24,81,2.000000,25,144672,""
"{4,3,3}",5,"Hypercube",OK,4,8,544,1000,216,8000,6000,24000,8,32,81,2.000000,45,250144,""
"{4,3,3}",6,"Hypercube",OK,4,8,1040,1728,216,13824,10368,41472,8,40,81,2.000000,86,407456,""
"{4,3,3}",7,"Hypercube",OK,4,8,1776,2744,216,21952,16464,65856,8,48,81,2.000000,139,626976,""
"{4,3,3}",8,"Hypercube",OK,4,8,2800,4096,216,32768,24576,98304,8,56,81,2.000000,220,919072,""
"{4,3,3}",9,"Hypercube",OK,4,8,4160,5832,216,46656,34992,139968,8,64,81,2.000000,407,1294112,""
"{5}x{4}",1,"Pentagonal Duoprism",OK,4,9,1,9,267,80,58,240,10,0,99,2.212335,2,43926,""
"{5}x{4}",2,"Pentagonal Duoprism",OK,4,9,44,128,267,1040,776,3120,10,9,99,2.212335,13,69858,""
